Code,Basin,Short Name,Recoveries,,
2MS27P025COOK CH 06,NWVI,WSPT COOK CH (25-6),14,,
2MS27H025COOK CH,NWVI,WSPT COOK CH [H025],9,,
2MS27P025COUG CR 04,NWVI,WSPT COUG CR (25-4),117,,
2MS27H027CP COOK 11,NWVI,WSPT CP COOK [26-11],2,,
2MS27P127CP SCTO 03,NWVI,WSPT CP SCTO (127-3),12,,
2MS27P027CP SCTT 01,NWVI,WSPT CP SCTT (27-1),1,,
2MS27P025CRIT CV 04,NWVI,WSPT CRIT CV (25-4),36,,
2MS27H025CRIT CV,NWVI,WSPT CRIT CV [H025],3,,
2MS27P025DESC PT 04,NWVI,WSPT DESC PT (25-4),2,,
2MS27P025DISC PT 06,NWVI,WSPT DISC PT (25-6),47,,
2MS27H025DISC PT,NWVI,WSPT DISC PT [H025],3,,
2MS27P125DISC PT,NWVI,WSPT DISC PT (P125),6,,
2MS27P025DOBL IS 13,NWVI,WSPT DOBL IS (25-13),17,,
2MS27H025DOBL IS,NWVI,WSPT DOBL IS [H025],1,,
2MS27P027DRAK IS 07,NWVI,WSPT DRAK IS (27-7),4,,
2MS27P026EELS PS 05,NWVI,WSPT EELS PS (26-5),1,,
2MS27P025ENTR RF 13,NWVI,WSPT ENTR RF (25-13),2,,
2MS27P025ESPE IN 13,NWVI,WSPT ESPE IN (25-13),185,,
2MS27P125ESPE IN,NWVI,WSPT ESPE IN (P125),182,,
2MS27H025ESPE IO,NWVI,WSPT ESPE IO [H025],114,,
2MS27P125ESTE PT 05,NWVI,WSPT ESTE PT (125-5),10,,
2MS27P124ESTE PT,NWVI,WSPT ESTE PT (P124),3,,
2MS27P026FAIR HA 04,NWVI,WSPT FAIR HA (26-4),12,,
2MS27H026FAVO EN,NWVI,WSPT FAVO EN [H026],1,,
2MS27H025FERR PO,NWVI,WSPT FERR PO [H025],4,,
2MS27P125FERR PT 03,NWVI,WSPT FERR PT (125-3),175,,
2MS27P025FERR PT,NWVI,WSPT FERR PT (P025),443,,
2MS27H025FRIE CU,NWVI,WSPT FRIE CU [H025],1,,
2MS27P025GALI BY 04,NWVI,WSPT GALI BY (25-4),20,,
2MS27P025GARD PT 13,NWVI,WSPT GARD PT (25-13),18,,
2MS27H025GARD PT,NWVI,WSPT GARD PT [H025],6,,
2MS27P027GILL IS 02,NWVI,WSPT GILL IS (27-2),3,,
2MS27P127GOOD CO,NWVI,WSPT GOOD CO (P127),1,,
2MS27P026GRAS IS 01,NWVI,WSPT GRAS IS (26-1),21,,
2MS27P126GRAS IS,NWVI,WSPT GRAS IS (P126),18,,
2MS27P026GREE HD 07,NWVI,WSPT GREE HD (26-7),2,,
2MS27P027GRNT BY 02,NWVI,WSPT GRNT BY (27-2),74,,
2MS27H027GRNT BY,NWVI,WSPT GRNT BY [H027],3,,
2MS27H025,NWVI,WSPT H025,274,,
2MS27H026,NWVI,WSPT H026,70,,
2MS27H027,NWVI,WSPT H027,217,,
2MS27P025HANN CH 04,NWVI,WSPT HANN CH (25-4),45,,
2MS27P027HARV CV 02,NWVI,WSPT HARV CV (27-2),16,,
2MS27P025HEAD BY 05,NWVI,WSPT HEAD BY (25-5),2,,
2MS27P025HECA CH 09,NWVI,WSPT HECA CH (25-9),4,,
2MS27P025HIGH RK 13,NWVI,WSPT HIGH RK (25-13),21,,
2MS27P025HISN IN 04,NWVI,WSPT HISN IN (25-4),40,,
2MS27P025HOIS PT 04,NWVI,WSPT HOIS PT (25-4),230,,
2MS27P027HOLBERG 11,NWVI,WSPT HOLBERG (27-11),1,,
2MS27P027HUGH RK 04,NWVI,WSPT HUGH RK (27-4),2,,
2MS27P027HUNT IT 02,NWVI,WSPT HUNT IT (27-2),1,,
2MS27H027KAIN IO,NWVI,WSPT KAIN IO [H027],19,,
2MS27P027KAIN IS 02,NWVI,WSPT KAIN IS (27-2),556,,
2MS27H027KAIN IS,NWVI,WSPT KAIN IS [H027],4,,
2MS27P127KAIN IS,NWVI,WSPT KAIN IS (P127),108,,
2MS27H027KAIN PO,NWVI,WSPT KAIN PO [H027],1,,
2MS27P027KAIN PT 02,NWVI,WSPT KAIN PT (27-2),7,,
2MS27H027KAIN PT,NWVI,WSPT KAIN PT [H027],6,,
2MS27P127KAIN PT,NWVI,WSPT KAIN PT (P127),3,,
2MS27P025KEND IN 06,NWVI,WSPT KEND IN (25-6),1,,
2MS27P027KOSK BY 07,NWVI,WSPT KOSK BY (27-7),4,,
2MS27H027KWAK PT,NWVI,WSPT KWAK PT [H027],7,,
2MS27P126KYOQ RF 01,NWVI,WSPT KYOQ RF (126-1),1398,,
2MS27P026KYUQ SD 01,NWVI,WSPT KYUQ SD (26-1),64,,
2MS27P126KYUQ SD,NWVI,WSPT KYUQ SD (P126),62,,
2MS27P126KYUQ SO 01,NWVI,WSPT KYUQ SO (126-1),527,,
2MS27P126KYUQUOO 01,NWVI,WSPT KYUQUOO (126-1),490,,
2MS27P026KYUQUOT 06,NWVI,WSPT KYUQUOT (26-6),194,,
2MS27H026KYUQUOT,NWVI,WSPT KYUQUOT [H026],50,,
2MS27P126KYUQUOT,NWVI,WSPT KYUQUOT (P126),1329,,
2MS27P127LAWN PO 01,NWVI,WSPT LAWN PO (127-1),48,,
2MS27P027LAWN PT 05,NWVI,WSPT LAWN PT (27-5),24,,
2MS27P127LAWN PT,NWVI,WSPT LAWN PT (P127),100,,
2MS27H027LIPP PO,NWVI,WSPT LIPP PO [H027],99,,
2MS27P027LIPP PT 03,NWVI,WSPT LIPP PT (27-3),232,,
2MS27H027LIPP PT,NWVI,WSPT LIPP PT [H027],28,,
2MS27P127LIPP PT,NWVI,WSPT LIPP PT (P127),309,,
2MS27H025LOW RK,NWVI,WSPT LOW RK [H025],23,,
2MS27P125LOW RK,NWVI,WSPT LOW RK (P125),13,,
2MS27H025LOW RO,NWVI,WSPT LOW RO [H025],15,,
2MS27M120,NWVI,WSPT M120,11,,
2MS27M403,NWVI,WSPT M403,11,,
2MS27P027MAHA RV 07,NWVI,WSPT MAHA RV (27-7),3,,
2MS27H027MCAL IT,NWVI,WSPT MCAL IT [H027],3,,
2MS27P026MCLE CV 02,NWVI,WSPT MCLE CV (26-2),1,,
2MS27P027MOND RK 07,NWVI,WSPT MOND RK (27-7),1,,
2MS27P025MOUT BY 05,NWVI,WSPT MOUT BY (25-5),18,,
2MS27P027NERO IN 08,NWVI,WSPT NERO IN (27-8),3,,
2MS27P025NESO RV 05,NWVI,WSPT NESO RV (25-5),7,,
2MS27H025NOOT IO,NWVI,WSPT NOOT IO [H025],2,,
