record_code,format_version,submission_date,reporting_agency,sampling_agency,recovery_id,species,run_year,recovery_date,recovery_date_type,period_type,period,fishery,gear,adclip_selective_fishery,estimation_level,recovery_location_code,sampling_site,recorded_mark,sex,weight,weight_code,weight_type,length,length_code,length_type,detection_method,tag_status,tag_code,tag_type,sequential_number,sequential_column_number,sequential_row_number,catch_sample_id,sample_type,sampled_maturity,sampled_run,sampled_length_range,sampled_sex,sampled_mark,estimated_number,recovery_location_name,record_origin,release_location_state,release_location_rmis_region,release_location_rmis_basin,hatchery_location_name,stock_location_name,brood_year,run,hatchery_location_code,stock_location_code,last_release_date_year
"R","4.1","20200204","CDFO","CDFO","S1388763","1","2019","20190628","R","5","06","40","07","N","3","2MS27P123",,"5000",,,,,,,,"V","1","220392","13",,,,"00271606","6",,,,,,"7.38","WSPT         P123","N","WA","SNAK","UPSN","LYONS FERRY HATCHERY","LYONS FERRY HATCHERY","2016","8","3F42001  330002 H01","3F42001  330002 S01","2018"
"R","4.1","20200204","CDFO","CDFO","S1429270","1","2019","20190718","R","5","07","40","07","N","3","2MS27M23BBEG IS  11",,"5000",,,,,"520","0","1","V","1","185284","12",,,,"027D1107","1",,,,,,"1.01","WSPT  BEG IS (23-11)","N","BC","WCVI","SWVI","H-Sooke Harbour Seapen","S-Nitinat R","2017","3","2MS  SWVIH3227","2FS  SWVIS0114","2018"
"R","4.1","20200204","CDFO","CDFO","S1326087","1","2019","20190811","R","5","08","40","07","N","4","2MS24P020OTTE PT 05",,"5000",,,,,"660","0","1","V","1","184367","12",,,,,"3",,,,,,"11.34","JFSPT OTTE PT (20-5)","N","BC","FRTH","UPTR","H-Shuswap River, Middle,","S-Shuswap R Low","2016","2","2FS  TOMFH1958","2FS  TOMFS0161","2017"
"R","4.1","20200204","CDFO","CDFO","S1342069","1","2019","20190820","R","5","08","40","07","N","4","2MS24P020PR RENF 01",,"5000",,,,,"610","0","1","V","1","211214","12",,,,,"3",,,,,,"11.34","JFSPT PR RENF (20-1)","N","WA","JUAN","LYHO","HOKO FALLS HATCHERY","HOKO R       19.0148","2016","3","3F10805  190148 H","3F10805  190148 S","2017"
"R","4.1","20200204","CDFO","CDFO","S1387071","1","2019","20190808","R","5","08","40","07","N","3","2MS28M23ALONE PT 01",,"5000",,,,,"840","0","1","V","1","183473","12",,,,"00281608","6",,,,,,"3.74","ACSPT LONE PT (23-1)","N","BC","WCVI","SWVI","H-Robertson Creek H","S-Robertson Cr","2015","3","2FS  SWVIH0104","2FS  SWVIS0104","2016"
"R","4.1","20200204","CDFO","CDFO","S1338274","1","2019","20190724","R","5","07","40","07","N","3","2MS23P017NANAIMO 14",,"5000",,,,,"790","0","1","V","1","184384","12",,,,"00231607","6",,,,,,"3.38","GSPTS NANAIMO (17-14)","N","BC","FRTH","LOFR","H-Chilliwack River H","S-Chilliwack R","2016","3","2FS  LWFRH0107","2FS  LWFRS0107","2017"
"R","4.1","20200204","CDFO","CDFO","S1341884","1","2019","20190629","R","5","06","40","07","N","3","2MS27M23BCREE IS 08",,"5000",,,,,"460","0","1","V","1","636943","12",,,,"00271606","6",,,,,,"7.38","WSPT  CREE IS (23-8)","N","WA","MPS","EKPN","GROVERS CR HATCHERY","GROVERS CR   15.0299","2015","3","3F10510  150299 H","3F10510  150299 S","2016"
"R","4.1","20200204","CDFO","CDFO","S1426811","1","2019","20190620","R","5","06","40","07","N","3","2MS27P125",,"5000",,,,,"590","0","1","V","1","637173","12",,,,"027D1106","1",,,,,,"1.05","WSPT         P125","N","WA","SPS","EKPS","MINTER CR HATCHERY","MINTER CR HATCHERY","2016","3","3F10513  150048 H","3F10513  150048 S03","2017"
"R","4.1","20200204","CDFO","CDFO","S1343845","1","2019","20190715","R","5","07","40","07","N","3","2MS27P123",,"5000",,,,,"780","0","1","V","1","183473","12",,,,"00271607","6",,,,,,"7.22","WSPT         P123","N","BC","WCVI","SWVI","H-Robertson Creek H","S-Robertson Cr","2015","3","2FS  SWVIH0104","2FS  SWVIS0104","2016"
"R","4.1","20200204","CDFO","CDFO","S1425935","1","2019","20190709","R","5","07","40","07","N","4","2MN26P011CP SUTI 01",,"5000",,,,,,,,"V","1","182092","12",,,,,"3",,,,,,"2.73","CSPT  CP SUTI (11-1)","N","BC","WCVI","SWVI","H-Robertson Creek H","S-Robertson Cr","2016","3","2FS  SWVIH0104","2FS  SWVIS0104","2017"
"R","4.1","20200204","CDFO","CDFO","S1341348","1","2019","20190718","R","5","07","40","07","N","3","2MS62P014KITT BE 13",,"5000",,,,,"650","0","1","V","1","184375","12",,,,"00621607","6",,,,,,"10.7","GSSPTCKITT BE (14-13)","N","BC","FRTH","LOFR","H-Chehalis River H","S-Harrison R","2016","3","2FS  LWFRH0154","2FS  LWFRS0229","2017"
"R","4.1","20200204","CDFO","CDFO","S1305539","1","2019","20190628","R","5","06","40","07","N","3","2MS27P027CLIF PT 02",,"5000",,,,,"860","0","1","V","1","183474","12",,,,"027D1106","1",,,,,,"1.05","WSPT  CLIF PT (27-2)","N","BC","WCVI","SWVI","H-Robertson Creek H","S-Robertson Cr","2015","3","2FS  SWVIH0104","2FS  SWVIS0104","2016"
"R","4.1","20200204","CDFO","CDFO","S1338401","1","2019","20190713","R","5","07","40","07","N","3","2MS27M23B",,"5000",,,,,"790","0","1","V","1","184185","12",,,,"00271607","6",,,,,,"7.22","WSPT         M23B","N","BC","WCVI","SWVI","H-Robertson Creek H","S-Robertson Cr","2015","3","2FS  SWVIH0104","2FS  SWVIS0104","2016"
"R","4.1","20200204","CDFO","CDFO","S1336383","1","2019","20190710","R","5","07","40","07","N","4","2MN26P012DEER IS 16",,"5000",,,,,"580","0","1","V","1","637157","12",,,,,"3",,,,,,"4.27","CSPT  DEER IS (12-16)","N","WA","NOWA","NOOK","KENDALL CR HATCHERY","NOOKSACK R   01.0120","2016","1","3F10107  010406 H","3F10107  010120 S","2017"
