CRUISE NUMBER,STATION,SPECIES,FISH NUMBER,FL (mm),WT (mm),CWT,FIN CLIP,SEX,OTOLITH #,(0/1),DNA #,SAMPLE,1-PREY,1-VOL (cc),1-D,2-PREY,2-VOL (cc),2-D,3-PREY,3-VOL (cc),3-D,COMMENTS
2019-125,JS01,HERRING,038,103,11,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,039,093,9,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,040,093,9,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,041,111,14,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,042,094,8,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,043,106,12,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,044,087,7,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,045,094,9,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,046,102,12,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,047,111,15,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,048,106,13,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,049,102,11,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,050,112,15,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,051,095,9,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,052,110,14,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,053,108,14,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,054,095,10,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,055,099,10,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,056,100,12,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,057,102,11,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,058,099,10,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,059,096,10,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,060,104,12,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,061,106,13,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,062,100,10,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,063,103,12,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,064,105,12,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,065,107,13,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,066,117,17,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,067,108,13,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,068,111,14,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,069,098,10,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,070,097,10,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,071,101,10,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,072,115,16,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,073,104,13,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,074,102,12,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,075,094,9,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,076,091,7,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,077,107,13,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,078,098,10,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,079,093,8,,,,,,,,,,,,,,,,,
2019-125,JS01,HERRING,080,091,8,,,,,,,,,,,,,,,,,
2019-125,JS02,CHINOOK,001,164,44,,,,CK-1-A11,,124311,W,IJF,0.01,3,,,,,,,
2019-125,JS02,CHINOOK,002,212,100,,,,CK-1-A12,1,124312,W,RAB,0.2,3,,,,,,,
2019-125,JS02,CHINOOK,003,179,58,,,,CK-1-B1,,124313,W,IJF,0.01,5,,,,,,,
2019-125,JS02,CHINOOK,004,193,81,Y,AD,,CK-1-B2,,124314,W,OAA,0.01,3,,,,,,,
2019-125,JS02,CHINOOK,005,175,64,,,,CK-1-B3,,124315,W,M002,,,,,,,,,
2019-125,JS02,SABLEFISH,001,248,131,,,,,,,W,OAB,1.1,3,,,,,,,
2019-125,JS02,SABLEFISH,001,246,119,,,,,,,W,M010,0.01,5,,,,,,,EYEBALL LENSE
2019-125,JS02,PINK,001,145,29,,,,PK-1-A11,,108211,W,M011,0.01,5,,,,,,,
2019-125,JS02,SOCKEYE,001,151,31,,,,SE-1-A1,,118101,W,RAB,0.1,5,OAA,0.01,3,OAB,0.01,3,BLOOD 332
2019-125,JS02,CHUM,001,215,104,,,,CM-1-A11,,112311,W,M011,1.4,5,,,,,,,
2019-125,JS02,CHUM,002,203,90,,,,CM-1-A12,,112312,W,M011,0.5,5,,,,,,,
2019-125,JS02,CHUM,003,210,99,,,,CM-1-B1,,112313,W,M011,0.6,5,,,,,,,
2019-125,JS02,CHUM,004,209,103,,,,CM-1-B2,,112314,W,M011,0.9,5,,,,,,,
2019-125,JS02,CHUM,005,207,93,,,,CM-1-B3,,112315,W,M011,1.1,5,,,,,,,
2019-125,JS02,CHUM,006,204,88,,,,CM-1-B4,,112316,M,M011,1,5,,,,,,,
2019-125,JS02,CHUM,007,207,90,,,,CM-1-B5,,112317,M,M011,1,5,,,,,,,
2019-125,JS02,CHUM,008,216,109,,,,CM-1-B6,,112318,M,M011,1.6,5,,,,,,,
2019-125,JS02,CHUM,009,199,78,,,,CM-1-B7,,112319,M,M011,0.2,5,,,,,,,
2019-125,JS02,CHUM,010,195,76,,,,CM-1-B8,,112320,M,M011,0.3,5,,,,,,,
2019-125,JS02,CHUM,011,203,96,,,,,,,,,,,,,,,,,
2019-125,JS02,CHUM,012,190,71,,,,,,,,,,,,,,,,,
2019-125,JS02,HERRING,001,104,10,,,,,,,W,M011,0.01,5,,,,,,,
2019-125,JS02,HERRING,002,109,13,,,,,,,W,M002,,,,,,,,,
2019-125,JS02,HERRING,003,104,11,,,,,,,W,M002,,,,,,,,,
