"FISH_NUMBER","DATE_CAPTURED","SPECIES","SHIP_FL","SHIP_SL","SHIP_TL","SHIP_ML","SHIP_WT","OTOLITH","CWT_AGE","GONAD_WT","FIN_CL","SEX","SAMPLE","COMMENTS","TEMPORARY_TAG"
"BCSI-2019125-JS01-NA-041","Tuesday, Oct 1, 2019","HERRING",111,"","","",14,"","","","","","","",""
"BCSI-2019125-JS01-NA-042","Tuesday, Oct 1, 2019","HERRING",94,"","","",8,"","","","","","","",""
"BCSI-2019125-JS01-NA-043","Tuesday, Oct 1, 2019","HERRING",106,"","","",12,"","","","","","","",""
"BCSI-2019125-JS01-NA-044","Tuesday, Oct 1, 2019","HERRING",87,"","","",7,"","","","","","","",""
"BCSI-2019125-JS01-NA-045","Tuesday, Oct 1, 2019","HERRING",94,"","","",9,"","","","","","","",""
"BCSI-2019125-JS01-NA-046","Tuesday, Oct 1, 2019","HERRING",102,"","","",12,"","","","","","","",""
"BCSI-2019125-JS01-NA-047","Tuesday, Oct 1, 2019","HERRING",111,"","","",15,"","","","","","","",""
"BCSI-2019125-JS01-NA-048","Tuesday, Oct 1, 2019","HERRING",106,"","","",13,"","","","","","","",""
"BCSI-2019125-JS01-NA-049","Tuesday, Oct 1, 2019","HERRING",102,"","","",11,"","","","","","","",""
"BCSI-2019125-JS01-NA-050","Tuesday, Oct 1, 2019","HERRING",112,"","","",15,"","","","","","","",""
"BCSI-2019125-JS01-NA-051","Tuesday, Oct 1, 2019","HERRING",95,"","","",9,"","","","","","","",""
"BCSI-2019125-JS01-NA-052","Tuesday, Oct 1, 2019","HERRING",110,"","","",14,"","","","","","","",""
"BCSI-2019125-JS01-NA-053","Tuesday, Oct 1, 2019","HERRING",108,"","","",14,"","","","","","","",""
"BCSI-2019125-JS01-NA-054","Tuesday, Oct 1, 2019","HERRING",95,"","","",10,"","","","","","","",""
"BCSI-2019125-JS01-NA-055","Tuesday, Oct 1, 2019","HERRING",99,"","","",10,"","","","","","","",""
"BCSI-2019125-JS01-NA-056","Tuesday, Oct 1, 2019","HERRING",100,"","","",12,"","","","","","","",""
"BCSI-2019125-JS01-NA-057","Tuesday, Oct 1, 2019","HERRING",102,"","","",11,"","","","","","","",""
"BCSI-2019125-JS01-NA-058","Tuesday, Oct 1, 2019","HERRING",99,"","","",10,"","","","","","","",""
"BCSI-2019125-JS01-NA-059","Tuesday, Oct 1, 2019","HERRING",96,"","","",10,"","","","","","","",""
"BCSI-2019125-JS01-NA-060","Tuesday, Oct 1, 2019","HERRING",104,"","","",12,"","","","","","","",""
"BCSI-2019125-JS01-NA-061","Tuesday, Oct 1, 2019","HERRING",106,"","","",13,"","","","","","","",""
"BCSI-2019125-JS01-NA-062","Tuesday, Oct 1, 2019","HERRING",100,"","","",10,"","","","","","","",""
"BCSI-2019125-JS01-NA-063","Tuesday, Oct 1, 2019","HERRING",103,"","","",12,"","","","","","","",""
"BCSI-2019125-JS01-NA-064","Tuesday, Oct 1, 2019","HERRING",105,"","","",12,"","","","","","","",""
"BCSI-2019125-JS01-NA-065","Tuesday, Oct 1, 2019","HERRING",107,"","","",13,"","","","","","","",""
"BCSI-2019125-JS01-NA-066","Tuesday, Oct 1, 2019","HERRING",117,"","","",17,"","","","","","","",""
"BCSI-2019125-JS01-NA-067","Tuesday, Oct 1, 2019","HERRING",108,"","","",13,"","","","","","","",""
"BCSI-2019125-JS01-NA-068","Tuesday, Oct 1, 2019","HERRING",111,"","","",14,"","","","","","","",""
"BCSI-2019125-JS01-NA-069","Tuesday, Oct 1, 2019","HERRING",98,"","","",10,"","","","","","","",""
"BCSI-2019125-JS01-NA-070","Tuesday, Oct 1, 2019","HERRING",97,"","","",10,"","","","","","","",""
"BCSI-2019125-JS01-NA-071","Tuesday, Oct 1, 2019","HERRING",101,"","","",10,"","","","","","","",""
"BCSI-2019125-JS01-NA-072","Tuesday, Oct 1, 2019","HERRING",115,"","","",16,"","","","","","","",""
"BCSI-2019125-JS01-NA-073","Tuesday, Oct 1, 2019","HERRING",104,"","","",13,"","","","","","","",""
"BCSI-2019125-JS01-NA-074","Tuesday, Oct 1, 2019","HERRING",102,"","","",12,"","","","","","","",""
"BCSI-2019125-JS01-NA-075","Tuesday, Oct 1, 2019","HERRING",94,"","","",9,"","","","","","","",""
"BCSI-2019125-JS01-NA-076","Tuesday, Oct 1, 2019","HERRING",91,"","","",7,"","","","","","","",""
"BCSI-2019125-JS01-NA-077","Tuesday, Oct 1, 2019","HERRING",107,"","","",13,"","","","","","","",""
"BCSI-2019125-JS01-NA-078","Tuesday, Oct 1, 2019","HERRING",98,"","","",10,"","","","","","","",""
