fish,event,fl,circ,clip,dna,acoustic,pit
CK197,CT2019_149,77,49,Y,808,7935,989.001030620156
CK198,CT2019_153,88,49,N,809,7936,989.001030620073
CK199,CT2019_155,66,39,N,810,NA,989.001030620103
CK200,CT2019_156,78,45,N,811,7937,989.001030620077
CK201,CT2019_157,55,30,Y,812,NA,989.001030620072
CK202,CT2019_158,82,48,Y,813,7938,989.001030619950
CK203,CT2019_158,80,49,N,814,7939,989.001030619932
CK204,CT2019_158,87,54,N,815,8190,989.001030619907
CK205,CT2019_158,70,38,Y,816,NA,989.001030619837
CK206,CT2019_161,61,34,Y,817,NA,989.001030619876
CK207,CT2019_161,61,36,N,818,NA,989.001030619874
CK208,CT2019_162,77,47,N,819,8191,989.001030619946
CK209,CT2019_164,65,37,Y,820,NA,989.001030619866
CK210,CT2019_167,80,49,N,821,8192,989.001030619863
CK211,CT2019_168,81,48,N,822,NA,989.001030619916
CK212,CT2019_168,75,45,Y,823,NA,989.001030619938
CK213,CT2019_169,62,37,Y,824,NA,989.001030619915
CK214,CT2019_169,53,29,Y,825,NA,989.001030619917
CK215,CT2019_171,79,45,N,826,8193,989.001030619908
CK216,CT2019_171,65,39,N,827,NA,989.001030619960
CK217,CT2019_172,80,46,N,828,NA,989.001030619873
CK218,CT2019_172,62,36,N,829,NA,989.001030619869
CK219,CT2019_174,80,47,N,830,NA,989.001030619878
CK220,CT2019_175,71,44,Y,831,NA,989.001030619924
CK221,CT2019_177,72,43,N,832,NA,989.001030619862
CK222,CT2019_177,54,28,Y,833,NA,989.001030619910
CK223,CT2019_178,79,46,N,834,8194,989.001030619922
CK224,CT2019_179,79,47,Y,835,8195,989.001030619942
CK225,CT2019_179,54,31,N,836,NA,989.001030619983
CK226,CT2019_180,77,45,Y,837,8196,989.001030619904
CK227,CT2019_182,76,45,Y,838,NA,989.001030619913
CK228,CT2019_182,76,47,N,839,NA,989.001030619899
CK229,CT2019_184,70,39,N,840,NA,989.001030619893
CK230,CT2019_186,83,48,N,841,8197,989.001030619861
CK231,CT2019_187,60,37,Y,301,NA,989.001030619894
CK232,CT2019_187,66,36,Y,302,NA,989.001030619881
CK233,CT2019_187,55,29,Y,303,NA,989.001030619948
CK234,CT2019_187,62,33,Y,304,NA,989.001030619928
CK235,CT2019_187,57,31,N,305,NA,989.001030619921
CK236,CT2019_187,61,33,Y,306,NA,989.001030619912
CK237,CT2019_187,62,35,N,307,NA,989.001030619875
CK238,CT2019_187,60,32,Y,308,NA,989.001030619949
CK239,CT2019_187,60,30,Y,309,NA,989.001030619889
CK240,CT2019_188,54,29,Y,310,NA,989.001030619897
CK241,CT2019_188,64,35,N,311,NA,989.001030619920
CK242,CT2019_188,72,47,Y,312,8198,989.001030619944
CK243,CT2019_188,63,33,Y,313,NA,989.001030619864
CK244,CT2019_189,73,45,N,314,8199,989.001030619951
CK245,CT2019_189,65,37,N,315,NA,989.001030619958
CK246,CT2019_191,63,36,N,316,NA,989.001030619939
CK247,CT2019_192,80,47,N,317,8200,989.001030619895
CK248,CT2019_192,74,42,N,318,8201,989.001030619933
CK249,CT2019_193,63,37,N,319,NA,989.001030619884
CK250,CT2019_193,73,43,N,320,8202,989.001030619901
CK251,CT2019_194,62,33,N,321,NA,989.001030619937
CK252,CT2019_194,81,44,N,322,8203,989.001030619914
CK253,CT2019_194,58,32,N,323,NA,989.001030619955
CK254,CT2019_194,84,47,N,324,8204,989.001030619872
CK255,CT2019_195,72,43,N,325,NA,989.001030619953
CK256,CT2019_195,91,55,N,326,8205,989.001030619879
CK257,CT2019_195,82,48,Y,327,NA,989.001030619935
CK258,CT2019_196,65,40,N,328,NA,989.001030619926
CK259,CT2019_196,84,51,N,329,NA,989.001030619896
CK260,CT2019_201,69,38,Y,330,NA,989.001030619885
CK261,CT2019_201,78,48,Y,331,8206,989.001030619945
CK262,CT2019_203,85,50,N,332,8207,989.001030619927
CK263,CT2019_203,73,41,N,333,NA,989.001030619919
CK264,CT2019_204,63,37,Y,334,NA,989.001030619980
CK265,CT2019_204,70,41,Y,335,NA,989.001030619868
CK266,CT2019_205,57,30,Y,336,NA,989.001030619898
CK267,CT2019_206,87,49,N,337,8208,989.001030619957
CK268,CT2019_208,81,47,Y,338,NA,989.001030619947
CK269,CT2019_208,75,44,N,339,NA,989.001030619886
CK270,CT2019_209,60,30,Y,340,NA,989.001030619882
CK271,CT2019_209,70,41,N,341,NA,989.001030619870
CK272,CT2019_209,67,39,N,342,NA,989.001030619931
CK273,CT2019_209,65,39,Y,343,NA,989.001030619943
CK274,CT2019_210,65,36,Y,344,NA,989.001030619952
CK275,CT2019_210,63,34,Y,345,NA,989.001030619956
CK276,CT2019_211,51,28,Y,346,NA,989.001030619902
CK277,CT2019_211,61,34,Y,347,NA,989.001030619871
CK278,CT2019_212,76,42,N,348,NA,989.001030619903
CK279,CT2019_213,76,45,Y,349,NA,989.001030619891
CK280,CT2019_213,55,29,N,350,NA,989.001030619867
CK281,CT2019_213,65,37,N,351,NA,989.001030619954
CK282,CT2019_213,63,37,N,352,NA,989.001030619890
CK283,CT2019_214,65,38,N,353,NA,989.001030619941
CK284,CT2019_214,63,34,N,354,NA,989.001030619930
CK285,CT2019_214,59,32,Y,355,NA,NA
CK286,CT2019_214,59,33,Y,356,NA,989.001030619918
CK287,CT2019_214,68,38,N,357,NA,989.001030619940
CK288,CT2019_215,71,40,N,358,NA,989.001030619959
CK289,CT2019_215,66,39,N,359,NA,989.001030619923
CK290,CT2019_219,70,39,Y,360,NA,989.001030619925
CK291,CT2019_219,66,36,N,361,NA,989.001030619900
CK292,CT2019_219,72,47,Y,362,NA,989.001030619906
CK293,CT2019_219,74,43,Y,363,NA,989.001030619929
