ID_NUM,SPECIES,SCIENTIFIC_NAME,SPECIES_URN_LSID,LIFE_STAGE_URN_LABEL,FISH_NUM,DATE_TIME_ISO8601,LOCATION,AREA,TIME_PER,LATITUDE,LONGITUDE,LENGTH,TAG,OTOLITHS,OTOLITH,TRAY_CELL,SCALE,PRESERV,TAG_CODE,SPECIES_AC,SPECIES_AB,BROOD_YEAR,HATCHERY,REL_SITE,PROV_STATE,FIRST_REL,LAST_REL,REMARKS
90-384,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),A,1990-07-11T11:03-07:00,SATELLITE PASSAGE,2,6,48.8642,-125.1583,95,TRUE,,CH-C-010-2,,1226-07/08,U,02-09-51,CHINOOK,CHIN,89,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,5/28/1990,6/5/1990,
90-384,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),B,1990-07-11T11:03-07:00,SATELLITE PASSAGE,2,6,48.8642,-125.1583,98,TRUE,,CH-C-011-2,,1226-09/10,U,02-09-50,CHINOOK,CHIN,89,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,5/27/1990,6/5/1990,SCALES FROM NON-PREFERRED AREA
90-385,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),A,1990-07-11T12:02-07:00,MACKENZIE ANCHORAGE,2,6,48.8417,-125.1783,126,TRUE,,CH-C-012-2,,1226-11/12,U,02-06-33,CHINOOK,CHIN,89,0114-NITINAT RIVER,0114-NITINAT RIVER,BC,5/18/1990,5/19/1990,
90-386,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),A,1990-07-11T13:05-07:00,AGUILAR POINT,2,6,48.8400,-125.1367,94,TRUE,,CH-C-013-2,,1226-13/14,U,02-06-47,CHINOOK,CHIN,89,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,5/23/1990,6/5/1990,
90-389,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),A,1990-07-12T08:57-07:00,SPROAT NARROWS,1,6,49.1100,-124.8150,106,TRUE,,CH-C-014-2,,1226-15/16,U,02-08-18,CHINOOK,CHIN,89,0104-ROBERTSON CREEK,0413-NAHMINT RIVER,BC,5/9/1990,5/9/1990,
90-389,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),B,1990-07-12T08:57-07:00,SPROAT NARROWS,1,6,49.1100,-124.8150,118,TRUE,,CH-C-015-2,,1226-17/18,U,02-02-31,CHINOOK,CHIN,89,0104-ROBERTSON CREEK,2731-CHINA CREEK,BC,5/17/1990,5/17/1990,
90-389,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),C,1990-07-12T08:57-07:00,SPROAT NARROWS,1,6,49.1100,-124.8150,136,TRUE,,CH-C-016-2,,1226-19/20,U,02-01-47,CHINOOK,CHIN,89,0104-ROBERTSON CREEK,2415-POET'S NOOK,BC,5/19/1990,5/19/1990,
90-405,CHINOOK SALMON ADULT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1116 (adult),A,1990-07-18T03:18-07:00/1990-07-18T03:48-07:00,3.01 SOUTH,3,7,48.9288,-125.1942,,TRUE,,,,HEAD ONLY-,F,02-60-57,CHINOOK,CHIN,88,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,5/30/1989,6/5/1989,"FORMALIN SAMPLE, ONLY TAG RECOVERED"
B91-154,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),A,1991-06-18T01:53-07:00/1991-06-18T02:33-07:00,1.05 SOUTH,1,5,49.0572,-124.8483,68,TRUE,,,,,F,18-02-26,CHINOOK,CHIN,90,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,5/23/1991,5/23/1991,POORLY PRESERVED IN FORMALIN. LAST 1991 DATABASE UPDATE 1994-04-28
B91-154,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),B,1991-06-18T01:53-07:00/1991-06-18T02:33-07:00,1.05 SOUTH,1,5,49.0572,-124.8483,82,TRUE,,,,,F,02-12-08,CHINOOK,CHIN,90,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,5/31/1991,6/7/1991,SAMPLE POORLY PRESERVED IN FORMALIN
B91-228,STEELHEAD SALMON SMOLT,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,SDN:S11::S1173 (smolt),A,1991-07-03T03:40-07:00/1991-07-03T04:10-07:00,BURROUGH POINT,1,6,48.9783,-124.9892,,TRUE,,A-8 (1),,,Z,12-23-34,STEELHEAD,STEEL,88,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,4/11/1989,4/18/1989,ONLY ONE OTOLITH RECOVERED
B92-051,COHO SALMON SMOLT,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,SDN:S11::S1173 (smolt),A,1992-04-23T07:50-07:00,BILTON POINT,1,1,49.0117,-124.8675,150,TRUE,,E-19,,0771-37/38,Z,02-13-60,COHO,COHO,90,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,3/26/1992,4/22/1992,LAST 1992 DATABASE UPDATE 1994-04-28
B92-051,COHO SALMON SMOLT,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,SDN:S11::S1173 (smolt),B,1992-04-23T07:50-07:00,BILTON POINT,1,1,49.0117,-124.8675,138,FALSE,,,,,Z,,,COHO,,,,,,,NOT CLIPPED
B92-051,COHO SALMON SMOLT,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,SDN:S11::S1173 (smolt),C,1992-04-23T07:50-07:00,BILTON POINT,1,1,49.0117,-124.8675,170,FALSE,,,,,Z,,,COHO,,,,,,,NOT CLIPPED
B92-086,COHO SALMON SMOLT,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,SDN:S11::S1173 (smolt),A,1992-05-05T07:46-07:00,NANAT BAY,2,2,48.8825,-125.0767,140,FALSE,,E-16,,0771-33/34,Z,,,COHO,,,,,,,"CLIPPED BUT NO TAG, OT. CELL USED TWICE"
B92-100,COHO SALMON SMOLT,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,SDN:S11::S1173 (smolt),A,1992-05-06T07:28-07:00,TURRET ISLAND,4,2,48.8925,-125.3217,140,TRUE,,E-17,,0771-35/36,Z,02-10-31,COHO,COHO,90,0093-SAN JUAN RIVER CDP,2579-FAIRY LAKE,BC,3/23/1992,3/23/1992,
B92-104,CHINOOK SALMON JUVENILE,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1127 (juvenile),A,1992-05-06T10:39-07:00,HAND ISLAND,4,2,48.9458,-125.3217,246,TRUE,,,,,Z,63-42-45,CHINOOK,CHIN,90,0573-SOLEDUCK HATCHERY,0573-SOLEDUCK R (20.0096),WA,4/17/1992,4/17/1992,
B92-105,COHO SALMON SMOLT,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,SDN:S11::S1173 (smolt),A,1992-05-06T12:19-07:00,BAERIA ROCKS,3,2,48.9517,-125.1450,167,TRUE,,E-13,,0771-29/30,Z,02-02-22,COHO,COHO,90,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,3/26/1992,4/22/1992,
B92-120,COHO SALMON SMOLT,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,SDN:S11::S1173 (smolt),A,1992-05-11T20:18-07:00,CHUP POINT,2,2,48.9583,-125.0333,135,FALSE,,E-10   (1),,0771-25/26,Z,,,COHO,,,,,,,ONLY ONE OTOLITH RECOVERED
B92-128,COHO SALMON SMOLT,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,SDN:S11::S1173 (smolt),A,1992-05-12T10:37-07:00,AGUILAR POINT,2,2,48.8408,-125.1367,132,TRUE,,E-16,,0771-31/32,Z,02-13-61,COHO,COHO,90,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,3/26/1992,4/22/1992,OTOLITH CELL USED TWICE (SEE B92-086)
B92-142,COHO SALMON SMOLT,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,SDN:S11::S1173 (smolt),A,1992-05-13T07:36-07:00,TURRET ISLAND,4,2,48.8925,-125.3217,,TRUE,,,,,Z,63-43-10,COHO,COHO,89,0561-BIG BEEF CR  15.0389,0561-BIG BEEF CR  15.0389,WA,4/22/1991,6/7/1991,HEAD ONLY
B92-147,CHINOOK SALMON JUVENILE,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1127 (juvenile),A,1992-05-13T11:58-07:00,SWISS BOY ISLAND,3,2,48.9133,-125.1383,241,TRUE,,E-12,,,Z,63-42-45,CHINOOK,CHIN,90,0573-SOLEDUCK HATCHERY,0573-SOLEDUCK R (20.0096),WA,4/17/1992,4/17/1992,HEAD ONLY
B92-157,COHO SALMON SMOLT,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,SDN:S11::S1173 (smolt),A,1992-05-14T08:05-07:00,NAHMINT BAY,1,2,49.0583,-124.8633,131,TRUE,,E-11,,0771-27/28,Z,02-02-22,COHO,COHO,90,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,3/26/1992,4/22/1992,
B92-160,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),A,1992-05-14T11:15-07:00,POLLY POINT,1,2,49.2142,-124.8183,81,TRUE,,E-14   (1),,0768-31/32,Z,18-08-04,CHINOOK,CHIN,91,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,5/12/1992,5/26/1992,ONLY ONE OTOLITH RECOVERED
B92-160,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),B,1992-05-14T11:15-07:00,POLLY POINT,1,2,49.2142,-124.8183,78,TRUE,,E-15   (1),,0768-33/34,Z,18-08-03,CHINOOK,CHIN,91,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,5/12/1992,5/26/1992,ONLY ONE OTOLITH RECOVERED
B92-169,STEELHEAD SALMON SMOLT,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,SDN:S11::S1173 (smolt),A,1992-05-20T06:31-07:00,CLIFTON POINT,2,3,48.9217,-125.0542,136,FALSE,,D-19   (1),,0771-17/18,Z,,,STEEL,,,,,,,ORG. SP. ID WRONG; SCALES IN COHO BOOK
B92-171,COHO SALMON SMOLT,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,SDN:S11::S1173 (smolt),A,1992-05-20T08:55-07:00,AGUILAR POINT,2,3,48.8408,-125.1367,145,TRUE,,,,0771-09/10,Z,02-13-62,COHO,COHO,90,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,3/26/1992,4/22/1992,HEAD DAMAGED; NO OTOLITHS RECOVERED
B92-173,COHO SALMON SMOLT,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,SDN:S11::S1173 (smolt),A,1992-05-20T11:11-07:00,SWISS BOY ISLAND,3,3,48.9133,-125.1383,160,TRUE,,D-17,,0771-13/14,Z,02-13-62,COHO,COHO,90,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,3/26/1992,4/22/1992,
B92-174,COHO SALMON SMOLT,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,SDN:S11::S1173 (smolt),A,1992-05-20T11:56-07:00,BAERIA ROCKS,3,3,48.9517,-125.1450,150,TRUE,,D-20   (1),,0771-19/20,Z,02-13-61,COHO,COHO,90,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,3/26/1992,4/22/1992,ONLY ONE OTOLITH RECOVERED
B92-196,CHINOOK SALMON SMOLT,Oncorhynchus tshawytscha,urn:lsid:marinespecies.org:taxname:158075,SDN:S11::S1173 (smolt),A,1992-05-21T17:10-07:00,BURROUGH POINT,1,3,48.9783,-124.9892,82,TRUE,,D-16,,0768-15/16,Z,18-06-20,CHINOOK,CHIN,91,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,5/15/1992,5/22/1992,
